RA,DEC,kic_kepler_id,Tef,logg,[Fe/H],m_g,dist(pc),M_g,BC,M_bol,L,e_L,R,e_R,M,e_M
285.158987158,38.3713400106,3215507,5680.0,4.23,-1.03,16.3541889,2033.8566899999998,4.81,0.023,4.84,0.92,0.02,0.99,0.01,0.86,0.06
285.184145722,38.3440019546,3215583,5788.0,3.95,-0.19,15.580627400000001,3148.37231,3.09,0.075,3.17,4.26,0.09,2.06,0.02,1.2,0.08
285.186031582,38.3382276461,3215587,5852.0,4.21,-0.37,16.8933277,3294.4126,4.3,0.051,4.36,1.42,0.03,1.16,0.01,1.05,0.07
285.061037582,38.498597891399996,3322673,5983.0,4.13,-0.29,15.2763443,2525.625,3.26,0.054,3.32,3.7,0.08,1.8,0.02,1.14,0.07
285.066534604,38.4960485202,3322684,5605.0,4.33,-0.63,14.1916742,594.373596,5.32,0.034,5.36,0.57,0.01,0.8,0.01,0.89,0.06
285.069845301,38.499845702600005,3322688,5642.0,4.13,-0.4,17.035684600000003,2899.66479,4.72,0.049,4.77,0.97,0.02,1.03,0.01,1.02,0.07
285.079875711,38.4808769506,3322715,5447.0,4.41,-0.42,15.966485999999998,1301.2879599999999,5.39,0.034,5.43,0.53,0.01,0.82,0.01,0.88,0.06
285.088505222,38.4400141037,3322737,5337.0,4.38,-0.24,16.2309914,1577.22156,5.24,0.024,5.27,0.62,0.01,0.92,0.01,0.89,0.06
285.099192769,38.497420551,3322764,5829.0,4.19,-0.31,16.4597454,2648.74121,4.34,0.051,4.4,1.37,0.03,1.15,0.01,1.07,0.07
285.105913287,38.439747129299995,3322775,6012.0,4.07,-0.46,16.5135822,3857.02905,3.58,0.054,3.64,2.76,0.06,1.54,0.02,1.13,0.07
285.115459293,38.4663230823,3322797,5763.0,4.23,-0.41,16.433054000000002,2420.0913100000002,4.51,0.051,4.57,1.17,0.02,1.09,0.01,1.01,0.06
285.119714019,38.4081239876,3322805,5545.0,4.46,-0.64,16.069788,1217.60889,5.64,0.034,5.68,0.42,0.01,0.71,0.01,0.85,0.05
285.129486861,38.4038031016,3322837,6355.0,4.15,-0.97,17.261808399999996,4588.04443,3.95,0.047,4.0,1.97,0.04,1.16,0.02,1.05,0.07
285.13665478,38.4626335746,3322860,5357.0,4.52,-0.16,15.2568388,866.765991,5.57,0.023,5.59,0.46,0.01,0.79,0.01,0.89,0.06
285.143815614,38.4399644459,3322872,6169.0,4.12,-0.18,14.588038399999999,1538.68188,3.65,0.1,3.75,2.48,0.05,1.38,0.02,1.23,0.08
285.15021734,38.4336046527,3322889,5731.0,4.29,-0.28,16.5265198,2413.2749,4.61,0.046,4.66,1.08,0.02,1.06,0.01,1.01,0.06
285.178878864,38.4689641094,3322953,5035.0,3.17,-0.97,16.0051498,9397.9873,1.14,-0.015,1.12,27.93,0.57,6.96,0.04,1.3,0.08
285.196891375,38.443910766799995,3322991,5491.0,4.5,-0.19,16.5506687,1372.70435,5.86,0.054,5.92,0.34,0.01,0.64,0.01,0.92,0.06
284.94397640299997,38.5968405865,3423936,5003.0,4.62,-0.19,16.050581,888.410767,6.31,-0.005,6.3,0.24,0.0,0.65,0.0,0.78,0.05
285.029759858,38.523379157600004,3424171,5811.0,4.21,-0.62,16.308633800000006,2162.4099100000008,4.63,0.051,4.69,1.05,0.02,1.01,0.01,0.98,0.06
285.037218423,38.5240810815,3424193,5699.0,4.07,-0.39,15.8494015,2083.1958,4.26,0.049,4.3,1.49,0.03,1.26,0.01,1.06,0.07
285.063637409,38.5837557082,3424257,5686.0,4.23,-0.42,16.0213356,1892.83728,4.64,0.049,4.68,1.05,0.02,1.06,0.01,0.99,0.06
285.085352252,38.5376666323,3424308,5779.0,4.18,-0.53,15.332738899999999,1598.63025,4.31,0.051,4.37,1.41,0.03,1.19,0.01,1.0,0.06
285.087070364,38.5843528981,3424310,5522.0,4.37,-0.27,15.6801739,1398.31799,4.95,0.034,4.99,0.8,0.02,0.98,0.01,0.94,0.06
285.08734980599996,38.595305044899995,3424312,6116.0,4.06,-0.21,14.841738699999999,1983.8609600000002,3.35,0.079,3.43,3.33,0.07,1.63,0.02,1.23,0.08
285.090388848,38.509286271,3424318,5380.0,4.33,-0.52,15.9184608,1603.54199,4.89,0.034,4.93,0.84,0.02,1.06,0.01,0.86,0.06
285.103959365,38.5922723818,3424360,4694.0,3.16,-0.24,15.639868700000001,4103.43555,2.57,-0.055,2.52,7.73,0.16,4.22,0.02,1.38,0.09
285.109487993,38.5083941521,3424376,5751.0,4.07,-0.08,15.769271900000001,2368.50195,3.9,0.075,3.97,2.03,0.04,1.44,0.01,1.16,0.07
285.115444755,38.5565681637,3424391,4796.0,2.98,-0.28,15.303313300000001,4170.99316,2.2,-0.067,2.14,11.01,0.22,4.82,0.02,1.61,0.1
285.129302328,38.542602821399996,3424428,5757.0,4.04,-0.47,15.7496328,2077.2607399999997,4.16,0.051,4.21,1.62,0.03,1.28,0.01,1.07,0.07
285.134553184,38.5687563309,3424438,5604.0,4.23,-0.1,16.388545999999998,2420.02808,4.47,0.056,4.52,1.22,0.02,1.17,0.01,1.04,0.07
285.13592178700003,38.5910452986,3424443,5568.0,4.23,0.02,16.1858883,2340.6127899999997,4.34,0.056,4.39,1.37,0.03,1.26,0.01,1.06,0.07
285.137744935,38.560700154,3424449,5997.0,3.93,-0.43,15.1559134,2133.16187,3.51,0.054,3.57,2.95,0.06,1.6,0.02,1.2,0.08
285.20039221400003,38.5282183136,3424581,5619.0,4.34,-0.35,15.0568027,912.316833,5.26,0.034,5.29,0.6,0.01,0.82,0.01,0.95,0.06
284.848059155,38.699674100900005,3525222,5098.0,3.62,-0.38,15.301120800000001,2253.85767,3.54,0.003,3.54,3.02,0.06,2.23,0.01,1.13,0.07
